answer,relevance,id,question
Resistance band,RELEVANT,171,What exercise does a banded pull-up type of strength equipment use?
a broom,RELEVANT,115,What equipment is required for Jumping Squats?
a squat,RELEVANT,53,What body part does Dumbbell Lateral Raise target?
a squat,RELEVANT,198,What muscles are used in Cable Tricep Overhead Extension?
Kettlebell,RELEVANT,19,What type of exercise is Goblet Squats?
a squat,RELEVANT,70,What muscles are used in Tuck Jumps?
exercise,RELEVANT,161,What type of exercise is Smith Machine Shoulder Press?
Kettlebell Swing,RELEVANT,5,What equipment is required for Kettlebell Swing?
machine,NON_RELEVANT,135,What type of exercise is Seated Calf Raise?
a squat,RELEVANT,122,How do you perform Resistance Band Squat correctly?
Dumbbells,RELEVANT,37,What type of exercise is Renegade Rows?
Dumbbells,RELEVANT,151,What type of equipment does Incline Chest Press use?
ages between 0 and 6,RELEVANT,148,What are the ages of the spider push-ups?
a weight lifting exercise,RELEVANT,189,How does Pike Push-Up Type help your body?
a squat,RELEVANT,174,What body part does Weighted Russian Twists target?
Bodyweight,RELEVANT,153,What equipment is required for Hanging Knee Raises?
machine,RELEVANT,7,What type of equipment does the Lat Pulldown have?
perform a single-arm dumbbell exercise,RELEVANT,126,What does the Dumbbell Flyes do?
calorie,RELEVANT,69,"What is the calorie content of the word ""landmine press""?"
a snatch,RELEVANT,190,What body part does One-Arm Dumbbell Snatch target?
Cable machine,RELEVANT,80,What type of equipment does the cable chest press use?
Dumbbells,RELEVANT,68,What type of equipment does the Arnold press type?
Bike,RELEVANT,30,What type of exercise is Calf Raises?
equipment,RELEVANT,159,What equipment is required for Smith Machine Row?
Bodyweight,RELEVANT,24,What type of exercise is Step-Ups?
machine,RELEVANT,203,What equipment is the machine Lat pulldown type?
exercise,RELEVANT,159,What type of exercise is Smith Machine Row?
Dumbbells,RELEVANT,111,What type of exercise is Incline Dumbbell Curl?
a squat,RELEVANT,38,What body part does Leg Press target?
B).,RELEVANT,91,What equipment is required for Walking Lunges?
bodyweight,RELEVANT,1,What type of equipment does the squats use?
bodyweight,RELEVANT,119,What type of equipment does the one-arm push-up type?
machine chest press,RELEVANT,156,What type of equipment does machine chest press use?
a barbell,RELEVANT,186,What muscles are used in Deadlift High Pull?
body weight,RELEVANT,16,What body part does Russian Twists target?
triceps,RELEVANT,66,What muscles are used in Side Leg Raises?
a squat,RELEVANT,147,What muscles are used in Cable Kickback?
Dumbbells,RELEVANT,29,What is the gimmick for Farmer's Walk?
machine,RELEVANT,203,What type of equipment does machine Lat Pulldown use?
equipment,RELEVANT,149,What equipment is required for Resistance Band Chest Press?
Dumbbells,RELEVANT,127,How do you perform Reverse Fly correctly?
Bodyweight,RELEVANT,155,What equipment is required for Glute Kickback?
One-Arm Dumbbell Row,RELEVANT,18,What equipment is required for Dumbbell Rows?
a machine,RELEVANT,74,What type of exercise is Cable Bicep Curl?
bodyweight,RELEVANT,9,What type of equipment does Jumping Jacks have?
Dumbbells,RELEVANT,206,What type of equipment does the dumbbell bench press have?
Barbell,RELEVANT,142,What type of equipment does Landmine Squat Press use?
a pound,RELEVANT,204,What is the weight of one-arm cable row?
bodyweight,RELEVANT,20,What is the main purpose of the Glute Bridge?
a).,RELEVANT,36,How do you perform Incline Dumbbell Press correctly?
Using the plank shoulder taps.,RELEVANT,52,How do I use the plank shoulder taps?
a shin,RELEVANT,97,What body part does Resistance Band Deadlift target?
exercise,RELEVANT,100,What type of exercise is Cable Lateral Raise?
a machine,RELEVANT,38,How do you perform Leg Press correctly?
Dumbbell,RELEVANT,190,What equipment is required for One-Arm Dumbbell Snatch?
a squat,RELEVANT,149,What body part does Resistance Band Chest Press target?
exercise,RELEVANT,35,What type of exercise is Treadmill Run?
one-arm,RELEVANT,99,What body part does Dumbbell Step-Up target?
Cable machine,RELEVANT,23,What type of equipment is the cable flyes?
a machine,RELEVANT,204,What type of equipment does one-arm cable row use?
Dumbbells,RELEVANT,40,How do you perform Single-Leg Deadlift correctly?
Dumbbells,RELEVANT,6,What body part does Shoulder Press target?
a hamstring,RELEVANT,8,What body part does Hamstring Stretch target?
machine,RELEVANT,62,What equipment is required for Hack Squat?
Bodyweight,RELEVANT,54,What equipment is required for Wall Sit?
a squat,RELEVANT,147,What are the exercises for the cable kickback type?
Dumbbells,RELEVANT,26,What type of equipment does the chest press use?
Dumbbells,RELEVANT,107,What type of equipment does the Bulgarian Deadlift use?
bodyweight,RELEVANT,27,What type of equipment do you need to perform box jumps?
Bodyweight,RELEVANT,17,What equipment does Burpees use to do cardio?
Stability ball pike,RELEVANT,145,What are the exercises that stability ball pike type?
sled push,RELEVANT,73,What is the difference between a sled push and a sled push?
a squat,RELEVANT,85,What body part does Hip Abduction target?
machine,RELEVANT,61,What equipment does the machine Chest Fly use?
a small,RELEVANT,134,What is the size of machine row?
Blowweight,RELEVANT,15,What type of exercise is Tricep Dips?
a sleeve,RELEVANT,187,What body part does Reverse Grip Lat Pulldown target?
machine,RELEVANT,118,What equipment does the leg curl use?
a machine,RELEVANT,198,What type of exercise is Cable Tricep Overhead Extension?
a single arm,RELEVANT,99,What equipment is required for Dumbbell Step-Up?
Kettlebell,RELEVANT,173,What muscles are used in Turkish Get-Up?
Dumbbells,RELEVANT,21,What body part does Overhead Tricep Extension target?
a banded pull-up type,RELEVANT,171,How do you describe a banded pull-up type?
barbell,RELEVANT,3,What kind of equipment does a deadlift use?
Bike,RELEVANT,119,What type of exercise is One-Arm Push-Up?
Kettlebell,RELEVANT,110,What is the type of exercise used in the Russian Kettlebell Swing?
Dumbbell,RELEVANT,160,What type of equipment is the Lat Pullover?
a hammer,RELEVANT,197,What body part does Cable Hammer Curl target?
Dumbbells,RELEVANT,68,What does the Arnold press type have?
a squat,RELEVANT,13,What muscles are used in Mountain Climbers?
a dumbbell,RELEVANT,47,How do you perform Seated Shoulder Press correctly?
a curved rectangle,RELEVANT,51,What is the shape of the cable row?
a pound,RELEVANT,20,What is the weight of the glute bridge?
Bodyweight,RELEVANT,60,What type of equipment does Side Lunge use?
a barbell,RELEVANT,186,What equipment is required for Deadlift High Pull?
Dumbbells,RELEVANT,202,What muscles are used in Incline Dumbbell Row?
Dumbbells,RELEVANT,36,What type of presses does Incline Dumbbell press use?
a squat,RELEVANT,183,What muscles are used in Lateral Lunge?
a shin,RELEVANT,39,What body part does Cable Tricep Pushdown target?
a shin,RELEVANT,140,What body part does Lying Leg Curl target?
Dumbbell,RELEVANT,190,What type of exercise is One-Arm Dumbbell Snatch?
a shin,RELEVANT,184,What body part does Seated Machine Row target?
a).,RELEVANT,162,How do you perform Cable Woodchopper correctly?
a shin,RELEVANT,48,What body part does Incline Push-Ups target?
a single arm,RELEVANT,18,How do you perform Dumbbell Rows correctly?
exercise,RELEVANT,60,What kind of equipment are the side lunges?
type of equipment,RELEVANT,65,What kind of equipment does Ab Wheel Rollout have?
Blowweight,RELEVANT,44,What type of exercise is Hanging Knee Tucks?
Dumbbells,RELEVANT,127,What equipment is required for Reverse Fly?
Bodyweight,RELEVANT,125,What equipment is required for Superman Exercise?
exercise,RELEVANT,199,What type of exercise is Seated Cable Row?
Dumbbells,RELEVANT,40,What type of exercise is Single-Leg Deadlift?
a machine,RELEVANT,132,How do you perform Reverse Hyperextension correctly?
Using a tricep extension,RELEVANT,117,How do you perform Dumbbell Tricep Extension correctly?
a.,RELEVANT,45,How do you perform Resistance Band Pull Aparts correctly?
a machine row,RELEVANT,134,What is the baseline for a machine row?
Blow-ups,RELEVANT,48,What type of exercise is Incline Push-Ups?
Dumbbells,RELEVANT,139,What types of exercise does Dumbbell Thrusters?
triceps,RELEVANT,11,What muscles are used in Lunges?
a minute,RELEVANT,2,What is the shortest amount of time the planks should be?
a squat,RELEVANT,31,What are the exercises that were performed at the Battle Ropes?
a small,RELEVANT,80,What is the size of the cable chest press?
a squat,RELEVANT,146,What muscles are used in Standing Calf Raise?
Resistance band,RELEVANT,171,What type of exercise does the banded pull-up type use?
Barbell,RELEVANT,98,What type of exercise is Decline Bench Press?
a squat,RELEVANT,115,What muscles are used in Jumping Squats?
Cable machine,RELEVANT,175,What equipment is required for Cable Front Raise?
Bodyweight,RELEVANT,146,What equipment is required for Standing Calf Raise?
exercise,RELEVANT,97,What type of exercise is Resistance Band Deadlift?
a splinter,RELEVANT,105,How do you perform Barbell Shrug correctly?
Barbell,RELEVANT,69,What type of equipment does the Landmine press use?
exercise,RELEVANT,181,What type of exercise is Cable Side Lunge?
a b c d e d e d e d e d e d e d e d e d e d e d e d e d e d e d e d e d e d e d,RELEVANT,176,How do you perform Reverse Crunch correctly?
a single arm,RELEVANT,72,What equipment is required for Dumbbell Shrugs?
machine,RELEVANT,61,What type of equipment is machine chest fly?
Bodyweight,RELEVANT,71,What equipment is required for Windshield Wipers?
Bodyweight,RELEVANT,0,What equipment is used to do push-ups?
Dumbbells,RELEVANT,206,What kind of equipment is used for a dumbbell bench press?
machine chest press,RELEVANT,156,What type of equipment does the machine chest press use?
Barbell,RELEVANT,69,What type of equipment does Landmine press use?
a cable machine,RELEVANT,195,How do you perform Standing Chest Fly correctly?
Blowweight/Dumbbell,RELEVANT,201,What type of equipment is the weighted pull-up type?
Dumbbells,RELEVANT,37,What kind of equipment does Renegade Rows use?
a squat,RELEVANT,41,What muscles are used in Inverted Rows?
a barbell,RELEVANT,96,What equipment is required for Incline Bench Press?
exercise,RELEVANT,51,What is the activity that is performed on the cable row?
Dumbbells,RELEVANT,40,What type of equipment is needed to perform a single-leg deadlift?
bodyweight,RELEVANT,0,What type of equipment is used for push-ups?
exercise,RELEVANT,81,What type of exercise is TRX Rows?
a squat,RELEVANT,14,What muscles are used in Leg Raises?
a machine,RELEVANT,188,How do you perform Cable Lateral Lunge correctly?
Blowweight,RELEVANT,28,What type of exercise is Hanging Leg Raises?
Dumbbells,RELEVANT,111,What equipment is required for Incline Dumbbell Curl?
Dumbbells,RELEVANT,143,What muscles are used in Zottman Curl?
a kettlebell,RELEVANT,173,What body part does Turkish Get-Up target?
a snatch,RELEVANT,33,How do you perform Dumbbell Deadlift correctly?
Resistance band,RELEVANT,171,What type of equipment does a banded pull-up have?
type of equipment,RELEVANT,161,What kind of equipment is the Smith Machine Shoulder Press?
squat,RELEVANT,14,What body part does Leg Raises target?
Cable machine,RELEVANT,23,What type of equipment does the Cable Flyes use?
a squat,RELEVANT,168,What body part does Standing Resistance Band Row target?
a barbell,RELEVANT,67,What muscles are used in Romanian Deadlift?
a pound,RELEVANT,22,What is the weight of the side plank?
Blowweight,RELEVANT,1,What exercise is used to perform squats?
a barbell,RELEVANT,106,What is the body part of the T-Bar Row?
a barbell exercise,RELEVANT,56,What kind of exercises do Sumo Deadlift type?
Barbell,RELEVANT,88,What type of equipment does box squat use?
a squat,RELEVANT,149,What muscles are used in Resistance Band Chest Press?
a chin-ups exercise,RELEVANT,87,What are the exercises that chin-ups do?
machine,RELEVANT,118,What is the purpose of the leg curl type?
a pound,RELEVANT,119,What is the weight of the one-arm push-up?
bodyweight,RELEVANT,1,What is the type of equipment for squats?
a squat,RELEVANT,82,What muscles are used in Medicine Ball Russian Twists?
a pound,RELEVANT,11,What is the weight of the lunges?
a squat,RELEVANT,86,What body part does Dumbbell Front Raise target?
a band,RELEVANT,168,What equipment is required for Standing Resistance Band Row?
machine,RELEVANT,167,What equipment did the step mill use?
a squat,RELEVANT,192,What muscles are used in Tire Flip?
bodyweight,RELEVANT,16,What is the physical activity of the muscles in Russian Twists?
a squat,RELEVANT,205,What muscles are used in Face Pull?
exercise,RELEVANT,31,What type of equipment is the Battle Ropes?
Barbell,RELEVANT,90,What equipment does the Zercher Squat type have?
type of equipment,RELEVANT,25,What equipment is required for Barbell Rows?
Blowweight,RELEVANT,153,What type of exercise is Hanging Knee Raises?
barbell,RELEVANT,186,What body part does Deadlift High Pull target?
Dumbbells,RELEVANT,170,What body part does Reverse Curl target?
a squat,RELEVANT,188,What body part does Cable Lateral Lunge target?
machine,RELEVANT,163,What type of equipment is used for a machine back extension?
exercise,RELEVANT,166,What type of equipment is the weighted plank?
a machine,RELEVANT,163,What equipment is required for Machine Back Extension?
squats,RELEVANT,115,What is the physical activity for jumping squats?
a squat,RELEVANT,122,What equipment is used in resistance band squat?
a squat,RELEVANT,128,What muscles are used in Cable Kickbacks?
bodyweight,RELEVANT,16,What type of equipment is the Russian Twists?
body weight,RELEVANT,112,What body part does Decline Sit-Ups target?
a barbell,RELEVANT,83,How do you perform Pendlay Row correctly?
bodyweight,RELEVANT,94,What is TRX Push-Ups?
bodyweight,RELEVANT,123,What type of equipment is a one-legged squat?
a bodyweight,RELEVANT,76,How is Flutter Kicks different from other exercises?
a pound,RELEVANT,150,What is the highest weight of a one-arm dumbbell row?
